あげる	表す	1.6
あしらう	飾る	5.2
あふれる	する	0.0
うかがう	見つける	2.6
うつる	罹る	8.2
おわる	無くなる	6.6
おわる	消える	6.8
かたる	名乗る	7.0
ささくれる	荒れる	5.2
しける	荒れる	8.6
しめる	冷やす	2.6
しゃくにさわる	怒る	6.8
たどる	行く	5.6
なくなる	消える	7.2
なくなる	去る	6.2
なぞる	歩む	2.4
なぞる	追う	4.8
なぞる	探し求める	3.6
なぞる	行く	1.6
にじみ出る	浮かび上がる	6.0
にじみ出る	映る	5.2
にじみ出る	出る	6.8
のせる	添える	5.8
はずす	抜く	7.4
はだける	乱れる	5.0
はまる	合う	6.4
はまる	いく	1.2
はめこむ	着ける	3.8
はめこむ	はめる	8.0
はめこむ	通す	2.2
はめこむ	つける	6.4
はめる	つける	7.4
はめる	通す	6.2
ひく	引き継ぐ	7.8
ひく	砕く	6.0
ひく	なくなる	4.8
ほほえむ	笑う	6.8
ほほえむ	微笑む	10.0
もめる	言い争う	7.8
やめる	除く	3.4
やめる	欠く	6.0
上回る	超える	9.0
付け足す	つける	5.8
付け足す	付ける	5.8
付け足す	付け加える	8.6
伺える	あふれる	1.6
似合う	目立つ	0.8
元気づける	励ます	6.6
出る	見える	5.2
分け与える	分ける	7.6
動かす	操る	6.6
勝つ	優れる	6.4
勝てる	勝る	5.8
勝る	超える	7.6
匂う	出る	2.0
匂わす	あふれる	1.2
匂わす	感じる	4.0
取り出す	採る	3.4
取り除く	除く	7.8
取り除く	なくす	7.4
壊れる	崩れる	6.0
壊れる	終わる	4.6
外す	なくす	5.4
富む	あふれる	7.0
尽きる	途切れる	7.0
尽きる	止む	5.4
引き立つ	合う	2.4
引き立つ	栄える	3.8
引き立つ	映える	5.8
引き立つ	目立つ	5.0
引き立つ	見える	6.6
引き締める	冷やす	3.6
待ちかねる	待ちきれない	6.8
待ちわびる	待ちきれない	6.6
待ち焦がれる	待ちきれない	7.2
微笑む	笑う	5.8
応じる	認める	6.2
応じる	受け入れる	7.8
悶える	乱れる	5.0
惑う	乱れる	5.0
感じる	する	1.6
感じる	あふれる	1.4
成りすます	真似る	5.2
戸惑う	困る	6.8
手繰る	行く	1.8
打ち勝つ	優れる	5.6
打ち勝つ	勝てる	5.6
打ち勝つ	勝つ	8.2
抜かす	欠かす	3.4
拭う	拭く	7.6
拭き取る	ふく	7.8
拭き取る	拭く	8.0
授かる	はらむ	7.2
探し求める	遡る	3.6
揺れ動く	惑う	5.0
映える	合う	7.8
映し出す	表す	7.0
映し出す	示す	7.2
映る	見える	6.8
望む	臨む	0.0
栄える	合う	1.6
欠かす	取り除く	4.8
欠く	劣る	3.8
欠く	なくす	5.6
欠く	取り除く	6.0
止まる	消える	3.8
止む	なくなる	4.6
決まる	争う	0.6
決まる	合う	5.8
波立つ	荒れる	5.8
流し込む	敷く	1.0
流し込む	入れる	6.2
浮かび上がる	表れる	5.4
消える	止む	5.8
消える	なくす	6.8
消える	去る	6.2
消え去る	消える	8.2
添える	付ける	6.8
満ちる	溢れる	6.0
満ちる	あふれる	6.6
満ちる	ある	2.8
満ちる	漂う	2.0
溶ける	おわる	0.8
溶ける	絶える	2.4
漂う	ある	1.6
漂う	あふれる	0.2
無くす	除く	7.2
無くす	取り外す	5.0
無くなる	減る	6.0
疲れる	困る	1.6
目立つ	合う	0.4
真似る	見せかける	5.6
着ける	付ける	5.8
瞑る	つぶる	10.0
知らせる	示す	6.8
秀でる	優れる	8.6
秀でる	上回る	7.2
窺える	漂う	2.6
立ち向かう	挑む	7.6
絶える	なくなる	6.2
絶える	消える	6.0
繕う	あしらう	3.2
繕う	装う	5.4
繕う	扱う	0.2
罹る	なる	4.4
聞き入れる	応じる	7.6
背負う	担う	6.4
荒む	荒れる	7.6
荒れる	争う	6.6
表す	示す	7.6
表れる	生じる	5.8
表れる	映る	5.4
装う	真似る	6.0
補う	付け加える	6.0
見える	生きる	2.6
見守る	見張る	7.4
言い争う	争う	5.8
巡る	進む	3.4
迷う	止める	1.6
追う	進む	5.2
途切れる	なくなる	7.0
途切れる	消える	6.4
途切れる	止まる	6.6
途絶える	減る	4.8
途絶える	無くなる	6.8
途絶える	消える	7.2
遡る	調べる	4.8
配る	割り当てる	5.4
配る	飾りつける	1.0
際立つ	合う	1.6
隠し持つ	潜める	5.4
騙る	名乗る	3.0
